vocabulary,ttf,df,idf
price-rang,24,55,3.846955325019824
nt-stop,180,177,3.3384564936046046
shock,237,228,3.2278867046136734
grate,90,88,3.6424645202421213
ham-hock,23,93,3.6190933306267428
cochon-butcher,57,54,3.8549130223078554
good-review,107,106,3.561101383649056
to-meet,159,156,3.3944516808262164
good-deal,104,101,3.583198773968623
move-fast,72,72,3.7299742856995555
the-bone,373,338,3.0569048513364727
my-famili,246,227,3.230448921378274
more-flavor,104,102,3.578639209968072
jam-benedict,142,125,3.4899584794248346
and-season,102,101,3.583198773968623
descript,199,188,3.311753861055754
have-prefer,68,68,3.754348335711019
the-mood,293,281,3.1367205671564067
great-bbq,88,85,3.6580113966571126
i-discov,51,51,3.8796692056320534
palat,193,189,3.3096301674258988
grass,86,76,3.7067177823367587
peak-hour,53,72,3.7299742856995555
hotel,559,496,2.8920946026904804
wednesday,291,282,3.1367205671564067
celebr,510,475,2.9084850188786495
term,273,256,3.1789769472931693
the-ice,162,151,3.4082399653118496
have-mention,64,64,3.7810369386211318
the-carn,72,66,3.767897616018091
that-sound,70,67,3.7611758131557314
veri-nice,673,643,2.778151250383644
my-meal,409,394,2.991226075692495
spotti,55,54,3.8549130223078554
realli-fresh,75,74,3.717670503002262
opposit,68,68,3.754348335711019
and-huge,55,55,3.846955325019824
a-privat,88,86,3.6522463410033232
fast-servic,72,71,3.73559889969818
stage,182,143,3.4313637641589874
balsam,140,132,3.4668676203541096
is-worth,480,474,2.9084850188786495
the-item,139,131,3.469822015978163
waiter,2675,2069,2.255272505103306
desert,362,319,3.0827853703164503
deserv,388,371,3.0170333392987803
quarter,387,361,3.0293837776852097
the-airport,52,51,3.8796692056320534
die,1000,968,2.591064607026499
and-fresh,460,451,2.929418925714293
dig,185,180,3.330413773349191
a-man,73,69,3.7481880270062002
hollywood,67,62,3.795184589682424
the-cake,185,168,3.361727836017593
din,74,70,3.741939077729199
dim,196,189,3.3096301674258988
the-vibe,183,181,3.3283796034387376
NUMNUMam,178,160,3.3820170425748683
dip,1979,1618,2.361727836017593
yellow-tail,40,81,3.678518379040114
who-work,103,103,3.574031267727719
was-great,2336,2158,2.230448921378274
butternut-squash,67,62,3.795184589682424
nt-love,199,193,3.3010299956639813
breakfast-item,63,61,3.802089257881733
forgotten,107,105,3.5658478186735176
it-end,82,81,3.678518379040114
molten,66,61,3.802089257881733
the-sampler,93,83,3.66838591669
and-cheddar,80,78,3.6954816764901977
friggin,53,52,3.8715729355458786
test,102,99,3.591064607026499
journey,55,51,3.8796692056320534
louisiana,258,236,3.2121876044039577
grape,112,99,3.591064607026499
brown,481,421,2.959041392321094
straw,77,71,3.73559889969818
feast,114,101,3.583198773968623
final,1843,1681,2.361727836017593
our-order,540,499,2.886490725172482
vanilla-bean,190,169,3.357934847000454
andouill,60,57,3.8312296938670634
wonder-experi,54,53,3.8627275283179747
yuck,63,61,3.802089257881733
for-small,57,56,3.838849090737255
so-tasti,146,145,3.424881636631067
NUM-NUMNUM,15,115,3.526339277389844
distract,113,110,3.545307116465824
occasion,100,99,3.591064607026499
not-bad,412,399,2.9822712330395684
alway-good,123,120,3.507855871695831
wild-mushroom,81,76,3.7067177823367587
compani,268,257,3.1760912590556813
pound,158,151,3.4082399653118496
load,275,265,3.161368002234975
houston,411,335,3.060697840353612
loaf,79,71,3.73559889969818
could-order,56,56,3.838849090737255
ingredi,928,855,2.653212513775344
anytim,186,185,3.3201462861110542
malnati-salad,56,54,3.8549130223078554
undercook,150,139,3.444044795918076
relax,356,340,3.0530784434834195
babi,839,711,2.7323937598229686
grand,105,103,3.574031267727719
the-bomb,81,77,3.7007037171450192
uni,482,327,3.0718820073061255
the-freshest,123,121,3.503790683057181
for-extra,67,67,3.7611758131557314
chocol-shake,63,60,3.808885867359812
nuff,55,55,3.846955325019824
maxwel,81,64,3.7810369386211318
uno,180,149,3.413299764081252
this-citi,112,111,3.5415792439465807
grant,183,178,3.3364597338485296
NUM-thing,54,51,3.8796692056320534
bachelorett-parti,76,71,3.73559889969818
favorit-bbq,58,55,3.846955325019824
and-grit,567,493,2.8920946026904804
dmk,862,516,2.8692317197309762
attempt,243,230,3.225309281725863
thick,1031,917,2.623249290397901
frite-sauc,106,91,3.6283889300503116
influenc,61,61,3.802089257881733
is-phenomen,70,69,3.7481880270062002
stale,63,62,3.795184589682424
be-awar,66,66,3.767897616018091
next-day,238,229,3.225309281725863
realli-good,1833,1651,2.361727836017593
bim-bop,83,65,3.7745169657285498
were-nice,148,147,3.419955748489758
text,175,142,3.4345689040341987
go-ahead,39,67,3.7611758131557314
piquillo,93,88,3.6424645202421213
quit-tasti,125,122,3.5010592622177517
nt-work,81,79,3.6893088591236203
texa,403,324,3.0755469613925306
brew,187,176,3.3404441148401185
